ID,SEQUENCE,POS,PROJECT,FILE
467,Test Int Numeric Index,VB NN JJ NN,pandas-main,test_numeric.py
468,Test Float 16 Index,VB NN CD NN,pandas-main,test_numeric.py
469,Test Join Int64 Index,VB VB NNP NN,pandas-main,test_join.py
470,Test Join UInt64 Index,VB VB NNP NNP,pandas-main,test_join.py
471,Test Interval Index,VB NN NN,pandas-main,test_setops.py
472,Test Interval Range,VB NN NN,pandas-main,test_interval_range.py
473,Constructor Tests,NN NNS,pandas-main,test_constructors.py
474,Test From Arrays,VB IN NNS,pandas-main,test_constructors.py
475,Test From Breaks,VB IN NNS,pandas-main,test_constructors.py
476,Test From Tuples,VB IN NNS,pandas-main,test_constructors.py
477,Test Class Constructors,VB NN NNS,pandas-main,test_constructors.py
478,Test Get Item,VB VB NN,pandas-main,test_indexing.py
479,Test Where,VB WRB,pandas-main,test_indexing.py
480,Test Take,VB VB,pandas-main,test_indexing.py
481,Test Get Loc,VB VB NN,pandas-main,test_indexing.py
482,Test Get Indexer,VB VB NN,pandas-main,test_indexing.py
483,Test Slice Locs,VB NN NNS,pandas-main,test_indexing.py
484,Test Put mask,VB VB NN,pandas-main,test_indexing.py
485,Test Contains,VB VBZ,pandas-main,test_indexing.py
486,Test Interval Index,VB NN NN,pandas-main,test_interval.py
487,Test Equals,VB NNS,pandas-main,test_equals.py
488,Test Pickle,VB NN,pandas-main,test_pickle.py
489,Astype Tests,NNP NNS,pandas-main,test_astype.py
490,Test Int Subtype,VB NN NN,pandas-main,test_astype.py
491,Test Float Subtype,VB NN NN,pandas-main,test_astype.py
492,Test Datetime like Subtype,VB NN IN NN,pandas-main,test_astype.py
493,Test Interval Index Rendering,VB NN NN NN,pandas-main,test_formats.py
494,Test Interval Tree,VB NN NN,pandas-main,test_interval_tree.py
495,Test Categorical Index Constructors,VB JJ NN NNS,pandas-main,test_constructors.py
496,Test Take,VB VB,pandas-main,test_indexing.py
497,Test Get Loc,VB VB NN,pandas-main,test_indexing.py
498,Test Get Indexer,VB VB NN,pandas-main,test_indexing.py
499,Test Where,VB WRB,pandas-main,test_indexing.py
500,Test Contains,VB VBZ,pandas-main,test_indexing.py
501,Test Categorical Index,VB JJ NN,pandas-main,test_category.py
502,Test Categorical Index 2,VB JJ NN CD,pandas-main,test_category.py
503,Test Equals,VB NNS,pandas-main,test_equals.py
504,Test Reindex,VB NN,pandas-main,test_reindex.py
505,Test Astype,VB NNP,pandas-main,test_astype.py
506,Test Append,VB VB,pandas-main,test_append.py
507,Test Categorical Index Repr,VB JJ NN NN,pandas-main,test_formats.py
508,Test Fill NA,VB VB NNP,pandas-main,test_fillna.py
509,Equals Tests,VBZ NNS,pandas-main,test_equals.py
510,Test Period Index Equals,VB NN NN NNS,pandas-main,test_equals.py
511,Test Datetime Index Equals,VB NN NN NNS,pandas-main,test_equals.py
512,Test Timedelta Index Equals,VB NNP NN NNS,pandas-main,test_equals.py
513,Test Sort Values,VB NN NNS,pandas-main,test_sort_values.py
514,Drop Duplicates,VB NNS,pandas-main,test_drop_duplicates.py
515,Test Drop Duplicates Period Index,VB VB NNS NN NN,pandas-main,test_drop_duplicates.py
516,Test Drop Duplicates Datetime Index,VB VB NNS NN NN,pandas-main,test_drop_duplicates.py
517,Test Drop Duplicates Timedelta Index,VB VB NNS NNP NN,pandas-main,test_drop_duplicates.py
518,Test Value Counts,VB NN NNS,pandas-main,test_value_counts.py
519,Test Get Indexer,VB VB NN,pandas-main,test_indexing.py
520,Test Get Indexer Non Unique,VB VB NN RB JJ,pandas-main,test_indexing.py
521,Test Slice Locs,VB NN NNS,pandas-main,test_indexing.py
522,Test Period Index,VB NN NN,pandas-main,test_setops.py
523,Test Period Index Disallowed Freqs,VB NN NN VBN NNS,pandas-main,test_constructors.py
524,Test Period Index,VB NN NN,pandas-main,test_constructors.py
525,Test Simple New,VB JJ JJ,pandas-main,test_constructors.py
526,Test Shallow Copy,VB JJ VB,pandas-main,test_constructors.py
527,Test Series Period,VB NN NN,pandas-main,test_constructors.py
528,Test Get Item,VB VB NN,pandas-main,test_indexing.py
529,Test Get Loc,VB VB NN,pandas-main,test_indexing.py
530,Test Get Indexer,VB VB NN,pandas-main,test_indexing.py
531,Test Where,VB WRB,pandas-main,test_indexing.py
532,Test Take,VB VB,pandas-main,test_indexing.py
533,Test Get Value,VB VB NN,pandas-main,test_indexing.py
534,Test Contains,VB VBZ,pandas-main,test_indexing.py
535,Test As Of Locs,VB IN IN NNS,pandas-main,test_indexing.py
536,Test Resolution,VB NN,pandas-main,test_resolution.py
537,Test Period Representation,VB NN NN,pandas-main,test_tools.py
538,Test Period Index Conversion,VB NN NN NN,pandas-main,test_tools.py
539,Test Period Index Ops,VB NN NN NNS,pandas-main,test_scalar_compat.py
540,Test Freq,VB NN,pandas-main,test_freq_attr.py
541,Test Pickle,VB NN,pandas-main,test_pickle.py
542,Test Period Index,VB NN NN,pandas-main,test_partial_slicing.py
543,Test Period Range Keywords,VB NN NN NNS,pandas-main,test_period_range.py
544,Test Period Range,VB NN NN,pandas-main,test_period_range.py
545,Test Period Range Disallowed Freqs,VB NN NN VBN NNS,pandas-main,test_period_range.py
546,Test Period Index,VB NN NN,pandas-main,test_period.py
547,Test Join,VB VB,pandas-main,test_join.py
548,Test Search sorted,VB VB VBN,pandas-main,test_searchsorted.py
549,Test Period Index Rendering,VB NN NN NN,pandas-main,test_formats.py
550,Test Factorize,VB VB,pandas-main,test_factorize.py
551,Test Period Index Shift,VB NN NN VB,pandas-main,test_shift.py
552,Test To Timestamp,VB TO NN,pandas-main,test_to_timestamp.py
553,Test Period Index As Type,VB NN NN IN NN,pandas-main,test_astype.py
554,Test Insert,VB VB,pandas-main,test_insert.py
555,Test Repeat,VB VB,pandas-main,test_repeat.py
556,Test Period Index,VB NN NN,pandas-main,test_asfreq.py
557,Test Fill NA,VB VB NNP,pandas-main,test_fillna.py
558,Test Datetime Index Set Ops,VB NN NN VB NNS,pandas-main,test_setops.py
559,Test Business Datetime Index,VB NN NN NN,pandas-main,test_setops.py
560,Test Custom Datetime Index,VB JJ NN NN,pandas-main,test_setops.py
561,Test Datetime Index,VB NN NN,pandas-main,test_constructors.py
562,Test Time Series,VB NN NN,pandas-main,test_constructors.py
563,Test Get Item,VB VB NN,pandas-main,test_indexing.py
564,Test Where,VB WRB,pandas-main,test_indexing.py
565,Test Take,VB VB,pandas-main,test_indexing.py
566,Test Get Loc,VB VB NN,pandas-main,test_indexing.py
567,Test Contains,VB NNS,pandas-main,test_indexing.py
568,Test Get Indexer,VB VB NN,pandas-main,test_indexing.py
569,Test Maybe Cast Slice Bound,VB RB VB NN NN,pandas-main,test_indexing.py
570,Test Get Slice Bounds,VB VB NN NNS,pandas-main,test_indexing.py
571,Test Indexer Between Time,VB NN IN NN,pandas-main,test_indexing.py
572,Test Datetime Index Ops,VB NN NN NN,pandas-main,test_scalar_compat.py
573,Test Freq,VB NN,pandas-main,test_freq_attr.py
574,Test Datetime Index Arithmetic,VB NN NN JJ,pandas-main,test_arithmetic.py
575,Test Datetime Index Reindex,VB NN NN VB,pandas-main,test_reindex.py
576,Fixed Offset,JJ NN,pandas-main,test_timezones.py
577,Test Datetime Index Timezones,VB NN NN NNS,pandas-main,test_timezones.py
578,Test Pickle,VB NN,pandas-main,test_pickle.py
579,Test Datetime Index Iteration,VB NN NN NN,pandas-main,test_iter.py
580,Test Datetime Index Ops,VB NN NN NNS,pandas-main,test_ops.py
581,Test Business Datetime Index,VB NN NN NN,pandas-main,test_ops.py
582,Test Timestamp Equiv Date Range,VB NN NN NN NN,pandas-main,test_date_range.py
583,Test Date Ranges,NN NN NNS,pandas-main,test_date_range.py
584,Test Date Range TZ,NN NN NN NNP,pandas-main,test_date_range.py
585,Test Gen Range Generation,VB VB NN NN,pandas-main,test_date_range.py
586,Test Business Date Range,VB NN NN NN,pandas-main,test_date_range.py
587,Test Custom Date Range,VB JJ NN NN,pandas-main,test_date_range.py
588,Test Date Range Non Na no,VB NN NN RB NNP NNP,pandas-main,test_date_range.py
589,Test Date Range Non Tick Freq,VB NN NN RB NN NN,pandas-main,test_date_range.py
590,Test Split,VB NN,pandas-main,test_npfuncs.py
591,Test Slicing,VB NN,pandas-main,test_partial_slicing.py
592,Test Datetime Index,VB NN NN,pandas-main,test_datetime.py
593,Test Join,VB VB,pandas-main,test_join.py
594,Test Datetime Index Rendering,VB NN NN NN,pandas-main,test_formats.py
595,Test To Period,VB TO NN,pandas-main,test_to_period.py
596,Test Datetime Index Factorize,VB NN NN VB,pandas-main,test_factorize.py
597,Test Datetime Index Shift,VB NN NN VB,pandas-main,test_shift.py
598,Test TZ Localize,VB NNP VB,pandas-main,test_tz_localize.py
599,Test To Series,VB IN NNP,pandas-main,test_to_series.py
600,Test As Of,VB IN IN,pandas-main,test_asof.py
601,Test Datetime Index,VB NN NN,pandas-main,test_astype.py
602,Test Astype,VB NNP,pandas-main,test_astype.py
603,Test Delete,VB VB,pandas-main,test_delete.py
604,Test Date Time Index To Julian Date,VB NN NN NN TO NNP NN,pandas-main,test_to_julian_date.py
605,Test To Py Datetime,VB TO NNP NN,pandas-main,test_to_pydatetime.py
606,Test Insert,VB VB,pandas-main,test_insert.py
607,Test Normalize,VB VB,pandas-main,test_normalize.py
608,Test Datetime Index Round,VB NN NN NN,pandas-main,test_round.py
609,Test Repeat,VB VB,pandas-main,test_repeat.py
610,Test To Frame,VB NN NN,pandas-main,test_to_frame.py
611,Test Datetime Index Fill NA,VB NN NN VB TO,pandas-main,test_fillna.py
612,Test TZ Convert,VB NNP VB,pandas-main,test_tz_convert.py
613,Test Map,VB NN,pandas-main,test_map.py
614,Test Slice Locs,VB NN NNS,pandas-main,test_indexing.py
615,Test Put mask,VB VB NN,pandas-main,test_indexing.py
616,Test Get Indexer,VB VB NN,pandas-main,test_indexing.py
617,Test Get Loc,VB VB NN,pandas-main,test_indexing.py
618,Test Where,VB WRB,pandas-main,test_indexing.py
619,Test Contains,VB VBZ,pandas-main,test_indexing.py
620,Test Get Level Values,VB VB NN NNS,pandas-main,test_get_level_values.py
621,Test Is Lex sorted,VB VBZ NNP VBN,pandas-main,test_lexsort.py
622,Test Lex sort Depth,VB NNP NN NN,pandas-main,test_lexsort.py
623,Test Repr,VB NN,pandas-main,test_formats.py
624,Test Range Index Set Ops,VB NN NN NN NNS,pandas-main,test_setops.py
625,Test Range Index Constructors,VB NN NN NNS,pandas-main,test_constructors.py
626,Test Get Indexer,VB VB NN,pandas-main,test_indexing.py
627,Test Take,VB VB,pandas-main,test_indexing.py
628,Test Where,VB WRB,pandas-main,test_indexing.py
629,Test Range Index,VB NN NN,pandas-main,test_range.py
630,Test Join,VB VB,pandas-main,test_join.py
631,Test Index Set Ops,VB NN VB NNS,pandas-main,test_setops.py
632,Test Index Constructor,VB NN NN,pandas-main,test_constructors.py
633,Test Get Slice Bounds,VB VB NN NNS,pandas-main,test_indexing.py
634,Test Get Indexer Non Unique,VB VB NN RB JJ,pandas-main,test_indexing.py
635,Test Get Loc,VB VB NN,pandas-main,test_indexing.py
636,Test Where,VB WRB,pandas-main,test_where.py
637,Test Index Rendering,VB NN NN,pandas-main,test_formats.py
638,Test Reshape,VB VB,pandas-main,test_reshape.py
639,Test Comparison,VB NN,pandas-main,test_interval.py
640,Test Timedelta 64 Array Like Comparisons,VB NNP CD NN IN NNS,pandas-main,test_timedelta64.py
641,Test Timedelta 64 Array Comparisons,VB NNP CD NN NNS,pandas-main,test_timedelta64.py
642,Test Timedelta 64 Arithmetic Unsorted,VB NNP CD JJ JJ,pandas-main,test_timedelta64.py
643,Test Add Sub Na T Masking,VB VB NN NNP FW NN,pandas-main,test_timedelta64.py
644,Test Timedelta Array like Add Sub Ops,VB NNP NN IN VB VB NNS,pandas-main,test_timedelta64.py
645,Test Timedelta Array like Mul Div Ops,VB NNP NN IN VB VB NNS,pandas-main,test_timedelta64.py
646,Test Timedelta 64 Array Like Arithmetic,VB NNP CD NN IN NN,pandas-main,test_timedelta64.py
647,Test Datetime 64 Array Like Comparisons,VB NN CD NN IN NNS,pandas-main,test_datetime64.py
648,Test Datetime 64 Series Comparison,VB NN CD NN NN,pandas-main,test_datetime64.py
649,Test Datetime Index Comparisons,VB NN NN NNS,pandas-main,test_datetime64.py
650,Test Datetime 64 Arithmetic,VB NN CD NN,pandas-main,test_datetime64.py
651,Test Datetime 64 Date Offset Arithmetic,VB NN CD NN NN NN,pandas-main,test_datetime64.py
652,Test Datetime 64 Overflow Handling,VB NN CD NN NN,pandas-main,test_datetime64.py
653,Test Timestamp Series Arithmetic,VB NN NN NN,pandas-main,test_datetime64.py
654,Test Datetime Index Arithmetic,VB NN NN NN,pandas-main,test_datetime64.py
655,Test Numeric Comparisons,VB JJ NNS,pandas-main,test_numeric.py
656,Test Numeric Array like Arithmetic With Datetime Like,VB JJ NN IN NN IN NN IN,pandas-main,test_numeric.py
657,Test Division By Zero,VB NN IN CD,pandas-main,test_numeric.py
658,Test Multiplication Division,VB NN NN,pandas-main,test_numeric.py
659,Test Addition Subtraction,VB NN NN,pandas-main,test_numeric.py
660,Test U Func Compat,VB FW NN NN,pandas-main,test_numeric.py
661,Test Object D type Equivalence,VB NN FW NN NN,pandas-main,test_numeric.py
662,Test Numeric Arithmetic Unsorted,VB JJ JJ JJ,pandas-main,test_numeric.py
663,Test Period Array Like Comparisons,VB NN NN IN NNS,pandas-main,test_period.py
664,Test Period Index Comparisons,VB NN NN NNS,pandas-main,test_period.py
665,Test Period Series Comparisons,VB NN NN NNS,pandas-main,test_period.py
666,Test Period Index Series Comparison Consistency,VB NN NN NN NN NN,pandas-main,test_period.py
667,Test Period Frame Arithmetic,VB NN NN NN,pandas-main,test_period.py
668,Test Period Index Arithmetic,VB NN NN NN,pandas-main,test_period.py
669,Test Period Series Arithmetic,VB NN NNP NNP,pandas-main,test_period.py
670,Test Period Index Series Methods,VB NN NN NN NNS,pandas-main,test_period.py
671,Test Object Comparisons,VB NN NNS,pandas-main,test_object.py
672,Test Arithmetic,VB NN,pandas-main,test_object.py
673,My Index,PRP$ NN,pandas-main,test_object.py
674,Test Categorical Comparisons,VB JJ NNS,pandas-main,test_categorical.py
675,Test Time Conversion Formats,VB NN NN NNS,pandas-main,test_to_datetime.py
676,Test To Datetime,VB TO NN,pandas-main,test_to_datetime.py
677,Test To Datetime Unit,VB TO NN NN,pandas-main,test_to_datetime.py
678,Test To Datetime Data Frame,VB TO NN NN NN,pandas-main,test_to_datetime.py
679,Test To Datetime Misc,VB TO NNP NNP,pandas-main,test_to_datetime.py
680,Test Guess Datetime Format,VB NN NN NN,pandas-main,test_to_datetime.py
681,Test To Datetime Infer Format,VB TO NN NN NN,pandas-main,test_to_datetime.py
682,Test Days In Month,VB NNS IN NN,pandas-main,test_to_datetime.py
683,Test Datetime Parsing Wrappers,VB NN NN NNS,pandas-main,test_to_datetime.py
684,Test Origin,VB NN,pandas-main,test_to_datetime.py
685,Test Should Cache,VB MD VB,pandas-main,test_to_datetime.py
686,Test To Time,VB TO NN,pandas-main,test_to_time.py
687,Test Timedeltas,VB NNPS,pandas-main,test_to_timedelta.py
688,Test Reductions,VB NNS,pandas-main,test_reductions.py
689,Test Index Reductions,VB NN NNS,pandas-main,test_reductions.py
690,Test Series Reductions,VB NN NNS,pandas-main,test_reductions.py
691,Test Datetime 64 Series Reductions,VB NN CD NN NNS,pandas-main,test_reductions.py
692,Test Categorical Series Reductions,VB JJ NN NNS,pandas-main,test_reductions.py
693,Test Series Mode,VB NN NN,pandas-main,test_reductions.py
694,Test Datetime Like Stat Reductions,VB NN IN NN NNS,pandas-main,test_stat_reductions.py
695,Test Series Stat Reductions,VB NN NN NNS,pandas-main,test_stat_reductions.py
696,Test Eval,VB NN,pandas-main,test_eval.py
697,Test Type Casting,VB NN NN,pandas-main,test_eval.py
698,Test Alignment,VB NN,pandas-main,test_eval.py
699,Test Operations,VB NNS,pandas-main,test_eval.py
700,Test Math,VB NN,pandas-main,test_eval.py
701,Test Scope,VB NN,pandas-main,test_eval.py
702,Test Validate,VB VB,pandas-main,test_eval.py
703,Test Selection,VB NN,pandas-main,test_grouping.py
704,Test Grouping,VB NN,pandas-main,test_grouping.py
705,Test Get Group,VB VB NN,pandas-main,test_grouping.py
706,Test Iteration,VB NN,pandas-main,test_grouping.py
707,Test Numeric Only,VB JJ RB,pandas-main,test_numeric_only.py
708,Test Engine,VB NN,pandas-main,test_numba.py
709,Test Counting,VB NN,pandas-main,test_counting.py
710,Raising Object Exception,VBG NN NN,pandas-main,test_counting.py
711,Raising Object,VBG NN,pandas-main,test_counting.py
712,Test Group By,VB VB IN,pandas-main,test_timegrouper.py
713,Group Var Test Mixin,NN NN NN NN,pandas-main,test_libgroupby.py
714,Test Group Var Float64,VB NN NN NNP,pandas-main,test_libgroupby.py
715,Test Group Var Float32,VB NN NN NNP,pandas-main,test_libgroupby.py
716,Test Named Aggregation Series,VB JJ NN NN,pandas-main,test_aggregate.py
717,Test Named Aggregation Data Frame,VB JJ NN NNS NN,pandas-main,test_aggregate.py
718,Test Lambda Mangling,VB NN NN,pandas-main,test_aggregate.py
719,fn class,NNP NN,pandas-main,test_other.py
720,Test Data Frame Plots,VB NNS NN NNS,pandas-main,test_boxplot_method.py
721,Test Data Frame Group By Plots,VB NNS NN VB IN NNS,pandas-main,test_boxplot_method.py
722,Test Series Plots,VB NN NNS,pandas-main,test_hist_method.py
723,Test Data Frame Plots,VB NNS NN NNS,pandas-main,test_hist_method.py
724,Test Data Frame Group By Plots,VB NNS NN VB IN NNS,pandas-main,test_hist_method.py
725,Test TS Plot,VB NNP NN,pandas-main,test_datetimelike.py
726,Test Common,VB JJ,pandas-main,test_common.py
727,Test Series Plots,VB NN NNS,pandas-main,test_series.py
728,Test Series Plots,VB NN NNS,pandas-main,test_misc.py
729,Test Data Frame Plots,VB NNS NN NNS,pandas-main,test_misc.py
730,Test Get Standard Colors,VB VB JJ NNS,pandas-main,test_style.py
731,Test Registration,VB NN,pandas-main,test_converter.py
732,Test Date Time Converter,VB NN NN NN,pandas-main,test_converter.py
733,Test Period Converter,VB NN NN,pandas-main,test_converter.py
734,Axis,NN,pandas-main,test_converter.py
735,Test Time Delta Converter,VB NN NN NN,pandas-main,test_converter.py
736,mock axis,VB NN,pandas-main,test_converter.py
737,Test Data Frame Group By Plots,VB NNS NN VB IN NNS,pandas-main,test_groupby.py
738,Test Data Frame Color,VB NNS NN NNP,pandas-main,test_frame_color.py
739,Test Hist With By,VB NNP IN IN,pandas-main,test_hist_box_by.py
740,Test Box With By,VB NN IN IN,pandas-main,test_hist_box_by.py
741,Test Data Frame Plots Subplots,VB NNS NN NNS NNS,pandas-main,test_frame_subplots.py
742,Test Data Frame Plots,VB NN NN NNS,pandas-main,test_frame.py
743,Test Data Frame Plots Groupby,VB NN NN NNS NNP,pandas-main,test_frame_groupby.py
744,Test Frame Legend,VB NN NN,pandas-main,test_frame_legend.py
745,Test Types,VB NNS,pandas-main,test_types.py
746,Base,NN,pandas-main,test_api.py
747,Test PD Api,VB NNP NNP,pandas-main,test_api.py
748,Test Api,VB NNP,pandas-main,test_api.py
749,Test Errors,VB NNS,pandas-main,test_api.py
750,Test Util,VB NNP,pandas-main,test_api.py
751,Test Testing,VB NN,pandas-main,test_api.py
752,Test Block,VB NN,pandas-main,test_internals.py
753,Test Block Manager,VB NN NN,pandas-main,test_internals.py
754,Test Indexing,VB NN,pandas-main,test_internals.py
755,Test Block Placement,VB NN NN,pandas-main,test_internals.py
756,Test Can Hold Element,VB MD VB NN,pandas-main,test_internals.py
757,Test Should Store,VB MD VB,pandas-main,test_internals.py
758,Test Pad Backfill,VB VB NN,pandas-main,test_libalgos.py
759,Test Infinity,VB NN,pandas-main,test_libalgos.py
760,Test Hash Table,VB NN NN,pandas-main,test_hashtable.py
761,Test Hash Table Unsorted,VB NN NN JJ,pandas-main,test_hashtable.py
762,Test Py Object Hash Table With Nans,VB NNP NN NN NN IN NNPS,pandas-main,test_hashtable.py
763,Test Hash Table With Nans,VB NN NN IN NNPS,pandas-main,test_hashtable.py
764,Test Help Functions,VB NN NNS,pandas-main,test_hashtable.py
765,Test Help Functions With Nans,VB NN NNS IN NNPS,pandas-main,test_hashtable.py
766,Test Misc,VB NNP,pandas-main,test_lib.py
767,Test Indexing,VB NN,pandas-main,test_lib.py
768,Test Indexer,VB NN,pandas-main,test_join.py
769,Test Config,VB NN,pandas-main,test_config.py
770,Test Get Dummies,VB VB NNS,pandas-main,test_get_dummies.py
771,Test Union Categoricals,VB NN NNS,pandas-main,test_union_categoricals.py
772,Test Cross tab,VB JJ NN,pandas-main,test_crosstab.py
773,Test Cartesian Product,VB JJ NN,pandas-main,test_util.py
774,Test Melt,VB NN,pandas-main,test_melt.py
775,Test L reshape,VB FW VB,pandas-main,test_melt.py
776,Test Wide To Long,VB JJ TO JJ,pandas-main,test_melt.py
777,Test Pivot Table,VB NN NN,pandas-main,test_pivot.py
778,Mock Unstacker,VB NN,pandas-main,test_pivot.py
779,Test Pivot,NN NN,pandas-main,test_pivot.py
780,Test Merge Multi,VB VB JJ,pandas-main,test_multi.py
781,Test Join Multi Multi,VB VB JJ JJ,pandas-main,test_multi.py
782,Test Merge Ordered,VB VB JJ,pandas-main,test_merge_ordered.py
783,Not A Data Frame,RB DT NNS NN,pandas-main,test_merge_ordered.py
784,Test Merge,VB VB,pandas-main,test_merge.py
785,Not A Data Frame,RB DT NNS NN,pandas-main,test_merge.py
786,Test Merge D types,VB VB NN NNS,pandas-main,test_merge.py
787,Test Merge Categorical,VB VB JJ,pandas-main,test_merge.py
788,Test Merge On Indexes,VB VB IN NNS,pandas-main,test_merge.py
789,Test Join,VB VB,pandas-main,test_join.py
790,Test As Of Merge,VB IN IN VB,pandas-main,test_merge_asof.py
791,Test Empty Concat,VB JJ NN,pandas-main,test_empty.py
792,Test Invalid Concat,VB JJ NN,pandas-main,test_invalid.py
793,Test Datetime Concat,VB NN NN,pandas-main,test_datetimes.py
794,Test Timezone Concat,VB NN NN,pandas-main,test_datetimes.py
795,Test Period Concat,VB NN NN,pandas-main,test_datetimes.py
796,Test Concatenate,VB VB,pandas-main,test_concat.py
797,Custom Iterator 1,JJ NN CD,pandas-main,test_concat.py
798,Custom Iterator 2,JJ NN CD,pandas-main,test_concat.py
799,Test Append,VB VB,pandas-main,test_append.py
800,Test Concat Append Common,VB NN VB NN,pandas-main,test_append_common.py
801,Test Series Concat,VB NN NN,pandas-main,test_series.py
802,Test Index Concat,VB NN NN,pandas-main,test_index.py
803,Test Multi Index Concat,VB JJ NN NN,pandas-main,test_index.py
804,Test Categorical Concat,VB JJ NN,pandas-main,test_categorical.py
805,Test Concat Sort,VB NN NN,pandas-main,test_sort.py
806,Test Data Frame Concat,VB NNS NN NN,pandas-main,test_dataframe.py
807,Test Stata,VB NNP,pandas-main,test_stata.py
808,Base,NN,pandas-main,test_parquet.py
809,Test Basic,VB JJ,pandas-main,test_parquet.py
810,Test Parquet Py Arrow,VB NN NNP NN,pandas-main,test_parquet.py
811,Test Parquet Fast Parquet,VB NN JJ NN,pandas-main,test_parquet.py
812,Test Compression,VB NN,pandas-main,test_pickle.py
813,Test Protocol,VB NN,pandas-main,test_pickle.py
814,Mock Read Response,VB NN NN,pandas-main,test_pickle.py
815,My Tz,PRP$ NNP,pandas-main,test_pickle.py
816,Custom FS Path,JJ NNP NN,pandas-main,test_common.py
817,Test Common IO Capabilities,VB JJ NNP NNS,pandas-main,test_common.py
818,Test M Map Wrapper,VB FW NN NN,pandas-main,test_common.py
819,Test Error,VB NN,pandas-main,test_common.py
820,Mock Sqlite Connection,VB NNP NN,pandas-main,test_sql.py
821,Dummy Exception,JJ NN,pandas-main,test_sql.py
822,Temporary,JJ,pandas-main,test_sql.py
823,Test,NN,pandas-main,test_sql.py
824,Test Memory FS,VB NN NNP,pandas-main,test_fsspec.py
825,Test Clipboard,VB NN,pandas-main,test_clipboard.py
826,Test Read Html,VB VB NNP,pandas-main,test_html.py
827,Unseekable String IO,JJ NNP NNP,pandas-main,test_html.py
828,Mock File,VB NN,pandas-main,test_html.py
829,Error Thread,NN NN,pandas-main,test_html.py
830,Test Feather,VB NN,pandas-main,test_feather.py
831,My Mapping,PRP$ NN,pandas-main,test_printing.py
832,Test P Print Thing,VB NNP NN NN,pandas-main,test_printing.py
833,Test Format Base,VB NN NN,pandas-main,test_printing.py
834,Test Data Frame Formatting,VB NNS NN NN,pandas-main,test_format.py
835,A,FW,pandas-main,test_format.py
836,Test Series Formatting,VB NN NN,pandas-main,test_format.py
837,Test Generic Array Formatter,VB JJ NN NN,pandas-main,test_format.py
838,D type Stub,NN NN NN,pandas-main,test_format.py
839,Ext Type Stub,NN NN NN,pandas-main,test_format.py
840,Test Float Array Formatter,VB NN NN NN,pandas-main,test_format.py
841,Test Timedelta 64 Formatter,VB NNP CD NN,pandas-main,test_format.py
842,Test Datetime 64 Formatter,VB NNP CD NN,pandas-main,test_format.py
843,Test Format Percentiles,VB NN NNS,pandas-main,test_format.py
844,Test Table Schema Repr,VB NN NN NN,pandas-main,test_ipython_compat.py
845,Test HTML Index,VB NNP NN,pandas-main,test_to_html.py
846,Test Repr HTML,VB NN NNP,pandas-main,test_to_html.py
847,Test Eng Formatter,VB NN NN,pandas-main,test_eng_formatting.py
848,Test To CSV,VB TO NNP,pandas-main,test_to_csv.py
849,Mock Encoding,VB NN,pandas-main,test_console.py
850,Test Data Frame To String Formatters,VB NNS NN TO NN NNS,pandas-main,test_to_string.py
851,Test Data Frame To String Col Space,VB NNS NN TO NN NNP NN,pandas-main,test_to_string.py
852,Test Data Frame To String Header,VB NNS NN TO NN NN,pandas-main,test_to_string.py
853,Test Data Frame To String Line Width,VB NNS NN TO NN NN NN,pandas-main,test_to_string.py
854,Test To String Numeric Formatting,VB TO NN JJ NN,pandas-main,test_to_string.py
855,Test Data Frame To String,VB NNS NN TO NN,pandas-main,test_to_string.py
856,Test Series To String,VB NN TO NN,pandas-main,test_to_string.py
857,Test To Latex,VB TO NNP,pandas-main,test_to_latex.py
858,Test To Latex Long table,VB TO NNP JJ NN,pandas-main,test_to_latex.py
859,Test To Latex Header,VB TO NNP NN,pandas-main,test_to_latex.py
860,Test To Latex Bold,VB TO NNP NN,pandas-main,test_to_latex.py
861,Test To Latex Caption Label,VB TO NN NN NN,pandas-main,test_to_latex.py
862,Test To Latex Escape,VB TO NN NN,pandas-main,test_to_latex.py
863,Test To Latex Position,VB TO NN NN,pandas-main,test_to_latex.py
864,Test To Latex Formatters,VB TO NN NNS,pandas-main,test_to_latex.py
865,Test To Latex Multiindex,VB TO NN NNP,pandas-main,test_to_latex.py
866,Custom Styler,JJ NN,pandas-main,test_style.py
867,Test Styler,VB NN,pandas-main,test_style.py
868,Test X port,VB FW NN,pandas-main,test_xport.py
869,Test Sas,VB NNP,pandas-main,test_sas.py
870,Test SAS 7 B DAT,VB NNP CD CD NNP,pandas-main,test_sas7bdat.py
871,Test HDF Store Subclass,VB NNP NN NN,pandas-main,test_subclass.py
872,Test Read Py Tables HDF5,VB VB NNP NNS NNP,pandas-main,test_compat.py
873,Table 1,NN CD,pandas-main,test_keys.py
874,Table 2,NN CD,pandas-main,test_keys.py
875,Table 3,NN CD,pandas-main,test_keys.py
876,Test Readers,VB NNS,pandas-main,test_readers.py
877,Test Excel File Read,VB NNP NN NN,pandas-main,test_readers.py
878,Test Round Trip,VB JJ NN,pandas-main,test_writers.py
879,Test Excel Writer,VB NNP NN,pandas-main,test_writers.py
880,Test Excel Writer Engine Tests,VB NNP NN NN NNS,pandas-main,test_writers.py
881,Dummy Class,JJ NN,pandas-main,test_writers.py
882,Test FS Path,VB NNP NN,pandas-main,test_writers.py
