ID,SEQUENCE,POS,PROJECT,FILE
2485,test sort missing numbers,VB NN VBG NNS,elasticsearch,SimpleSortTests.java
2486,test sort missing strings,VB NN VBG NNS,elasticsearch,SimpleSortTests.java
2487,test ignore unmapped,VB VB VBN,elasticsearch,SimpleSortTests.java
2488,test sort mv field,VB NN VB NN,elasticsearch,SimpleSortTests.java
2489,test sort on rare field,VB NN IN JJ NN,elasticsearch,SimpleSortTests.java
2490,test sort meta field,VB NN JJ NN,elasticsearch,SimpleSortTests.java
2491,test nested sort,VB JJ NN,elasticsearch,SimpleSortTests.java
2492,test sort duel between single shard and multi shard index,VB NN NN IN JJ NN CC JJ NN NN,elasticsearch,SimpleSortTests.java
2493,test many to many geo points,VB JJ TO JJ NN NNS,elasticsearch,SimpleSortTests.java
2494,create shuffeld json array,VB VBN NNP NN,elasticsearch,SimpleSortTests.java
2495,test many to many geo points with different formats,VB JJ TO JJ NN NNS IN JJ NNS,elasticsearch,SimpleSortTests.java
2496,test single point geo distance sort,VB JJ NN NN NN NN,elasticsearch,SimpleSortTests.java
2497,check correct sort order for geo sort,VB JJ NN NN IN NN NN,elasticsearch,SimpleSortTests.java
2498,create q points,VB NN NNS,elasticsearch,SimpleSortTests.java
2499,test cross index ignore unmapped,VB NN NN NN VBN,elasticsearch,SimpleSortTests.java
2500,get content type,VB NN NN,elasticsearch,Template.java
2501,do read from,VB VBP IN,elasticsearch,Template.java
2502,do write to,VB VBP IN,elasticsearch,Template.java
2503,script field to x content,NN NN TO NN NN,elasticsearch,Template.java
2504,read template,VB NN,elasticsearch,Template.java
2505,parse,VB,elasticsearch,Template.java
2506,parse,VB,elasticsearch,Template.java
2507,parse,VB,elasticsearch,Template.java
2508,parse,VB,elasticsearch,Template.java
2509,hash code,NN NN,elasticsearch,Template.java
2510,equals,VBZ,elasticsearch,Template.java
2511,create simple script,VB JJ NN,elasticsearch,Template.java
2512,create script,VB NN,elasticsearch,Template.java
2513,parse inline script,VB JJ NN,elasticsearch,Template.java
2514,get additional script parameters,VB JJ NN NNS,elasticsearch,Template.java
2515,get default script lang,VB JJ NN NN,elasticsearch,Template.java
2516,name,NN,elasticsearch,PreBuiltAnalyzerProvider.java
2517,scope,NN,elasticsearch,PreBuiltAnalyzerProvider.java
2518,get,VB,elasticsearch,PreBuiltAnalyzerProvider.java
2519,id,NN,elasticsearch,WriteConsistencyLevel.java
2520,from id,IN NN,elasticsearch,WriteConsistencyLevel.java
2521,from string,IN NN,elasticsearch,WriteConsistencyLevel.java
2522,get subset df,VB NN FW,elasticsearch,InternalSignificantTerms.java
2523,get superset df,VB NN FW,elasticsearch,InternalSignificantTerms.java
2524,get superset size,VB NN NN,elasticsearch,InternalSignificantTerms.java
2525,get subset size,VB NN NN,elasticsearch,InternalSignificantTerms.java
2526,update score,VB NN,elasticsearch,InternalSignificantTerms.java
2527,get doc count,VB NN NN,elasticsearch,InternalSignificantTerms.java
2528,get aggregations,VB NNS,elasticsearch,InternalSignificantTerms.java
2529,reduce,VB,elasticsearch,InternalSignificantTerms.java
2530,new bucket,JJ NN,elasticsearch,InternalSignificantTerms.java
2531,get significance score,VB NN NN,elasticsearch,InternalSignificantTerms.java
2532,iterator,NN,elasticsearch,InternalSignificantTerms.java
2533,get buckets,VB NNS,elasticsearch,InternalSignificantTerms.java
2534,get bucket by key,VB NN IN NN,elasticsearch,InternalSignificantTerms.java
2535,do reduce,VB VBP,elasticsearch,InternalSignificantTerms.java
2536,create,VB,elasticsearch,InternalSignificantTerms.java
2537,node plugins,NN NNS,elasticsearch,ClusterServiceIT.java
2538,test timeout update task,VB NN NN NN,elasticsearch,ClusterServiceIT.java
2539,execute,VB,elasticsearch,ClusterServiceIT.java
2540,on failure,IN NN,elasticsearch,ClusterServiceIT.java
2541,timeout,NN,elasticsearch,ClusterServiceIT.java
2542,on failure,IN NN,elasticsearch,ClusterServiceIT.java
2543,execute,VB,elasticsearch,ClusterServiceIT.java
2544,cluster state processed,NN NN VBN,elasticsearch,ClusterServiceIT.java
2545,on failure,IN NN,elasticsearch,ClusterServiceIT.java
2546,execute,VB,elasticsearch,ClusterServiceIT.java
2547,test acked update task,VB VBN NN NN,elasticsearch,ClusterServiceIT.java
2548,new response,JJ NN,elasticsearch,ClusterServiceIT.java
2549,must ack,MD VB,elasticsearch,ClusterServiceIT.java
2550,on all nodes acked,IN DT NNS VBD,elasticsearch,ClusterServiceIT.java
2551,on ack timeout,IN VB NN,elasticsearch,ClusterServiceIT.java
2552,ack timeout,VB NN,elasticsearch,ClusterServiceIT.java
2553,timeout,NN,elasticsearch,ClusterServiceIT.java
2554,cluster state processed,NN NN VBN,elasticsearch,ClusterServiceIT.java
2555,execute,VB,elasticsearch,ClusterServiceIT.java
2556,on failure,IN NN,elasticsearch,ClusterServiceIT.java
2557,test acked update task same cluster state,VB VBN NN NN JJ NN NN,elasticsearch,ClusterServiceIT.java
2558,new response,JJ NN,elasticsearch,ClusterServiceIT.java
2559,on all nodes acked,IN DT NNS VBD,elasticsearch,ClusterServiceIT.java
2560,on ack timeout,IN NN NN,elasticsearch,ClusterServiceIT.java
2561,ack timeout,VB NN,elasticsearch,ClusterServiceIT.java
2562,timeout,NN,elasticsearch,ClusterServiceIT.java
2563,cluster state processed,NN NN VBN,elasticsearch,ClusterServiceIT.java
2564,execute,VB,elasticsearch,ClusterServiceIT.java
2565,on failure,IN NN,elasticsearch,ClusterServiceIT.java
2566,test master aware execution,VB NN JJ NN,elasticsearch,ClusterServiceIT.java
2567,execute,VB,elasticsearch,ClusterServiceIT.java
2568,on failure,IN NN,elasticsearch,ClusterServiceIT.java
2569,run only on master,VB RB IN NN,elasticsearch,ClusterServiceIT.java
2570,execute,VB,elasticsearch,ClusterServiceIT.java
2571,on failure,IN NN,elasticsearch,ClusterServiceIT.java
2572,test acked update task no ack expected,VB VBN NN NN DT NN VBD,elasticsearch,ClusterServiceIT.java
2573,new response,JJ NN,elasticsearch,ClusterServiceIT.java
2574,must ack,MD VB,elasticsearch,ClusterServiceIT.java
2575,on all nodes acked,IN DT NNS VBD,elasticsearch,ClusterServiceIT.java
2576,on ack timeout,IN VB NN,elasticsearch,ClusterServiceIT.java
2577,ack timeout,VB NN,elasticsearch,ClusterServiceIT.java
2578,timeout,NN,elasticsearch,ClusterServiceIT.java
2579,cluster state processed,NN NN VBN,elasticsearch,ClusterServiceIT.java
2580,execute,VB,elasticsearch,ClusterServiceIT.java
2581,on failure,IN NN,elasticsearch,ClusterServiceIT.java
2582,test acked update task timeout zero,VB VBN NN NN NN DT,elasticsearch,ClusterServiceIT.java
2583,new response,JJ NN,elasticsearch,ClusterServiceIT.java
2584,must ack,MD VB,elasticsearch,ClusterServiceIT.java
2585,on all nodes acked,IN DT NNS VBD,elasticsearch,ClusterServiceIT.java
2586,on ack timeout,IN VB NN,elasticsearch,ClusterServiceIT.java
2587,ack timeout,VB NN,elasticsearch,ClusterServiceIT.java
2588,timeout,NN,elasticsearch,ClusterServiceIT.java
2589,cluster state processed,NN NN VBN,elasticsearch,ClusterServiceIT.java
2590,execute,VB,elasticsearch,ClusterServiceIT.java
2591,on failure,IN NN,elasticsearch,ClusterServiceIT.java
2592,test pending update task,VB JJ NN NN,elasticsearch,ClusterServiceIT.java
2593,execute,VB,elasticsearch,ClusterServiceIT.java
2594,on failure,IN NN,elasticsearch,ClusterServiceIT.java
2595,execute,VB,elasticsearch,ClusterServiceIT.java
2596,on failure,IN NN,elasticsearch,ClusterServiceIT.java
2597,cluster state processed,VB NN VBN,elasticsearch,ClusterServiceIT.java
2598,execute,VB,elasticsearch,ClusterServiceIT.java
2599,on failure,IN NN,elasticsearch,ClusterServiceIT.java
2600,execute,VB,elasticsearch,ClusterServiceIT.java
2601,on failure,IN NN,elasticsearch,ClusterServiceIT.java
2602,test local node master listener callbacks,VB JJ NN NN NN NNS,elasticsearch,ClusterServiceIT.java
2603,test prioritized tasks,VB VBN NNS,elasticsearch,ClusterServiceIT.java
2604,test cluster state batched updates,VB NN NN JJ NNS,elasticsearch,ClusterServiceIT.java
2605,execute,VB,elasticsearch,ClusterServiceIT.java
2606,execute,VB,elasticsearch,ClusterServiceIT.java
2607,run only on master,VB RB IN NN,elasticsearch,ClusterServiceIT.java
2608,cluster state published,NN NN VBN,elasticsearch,ClusterServiceIT.java
2609,on failure,IN NN,elasticsearch,ClusterServiceIT.java
2610,cluster state processed,NN NN VBN,elasticsearch,ClusterServiceIT.java
2611,test cluster state update logging,VB NN NN NN VBG,elasticsearch,ClusterServiceIT.java
2612,execute,VB,elasticsearch,ClusterServiceIT.java
2613,cluster state processed,NN NN VBN,elasticsearch,ClusterServiceIT.java
2614,on failure,IN NN,elasticsearch,ClusterServiceIT.java
2615,execute,VB,elasticsearch,ClusterServiceIT.java
2616,cluster state processed,NN NN VBN,elasticsearch,ClusterServiceIT.java
2617,on failure,IN NN,elasticsearch,ClusterServiceIT.java
2618,execute,VB,elasticsearch,ClusterServiceIT.java
2619,cluster state processed,NN NN VBN,elasticsearch,ClusterServiceIT.java
2620,on failure,IN NN,elasticsearch,ClusterServiceIT.java
2621,execute,VB,elasticsearch,ClusterServiceIT.java
2622,cluster state processed,NN NN VBN,elasticsearch,ClusterServiceIT.java
2623,on failure,IN NN,elasticsearch,ClusterServiceIT.java
2624,test long cluster state update logging,VB JJ NN NN NN VBG,elasticsearch,ClusterServiceIT.java
2625,execute,VB,elasticsearch,ClusterServiceIT.java
2626,cluster state processed,NN NN VBN,elasticsearch,ClusterServiceIT.java
2627,on failure,IN NN,elasticsearch,ClusterServiceIT.java
2628,execute,VB,elasticsearch,ClusterServiceIT.java
2629,cluster state processed,NN NN VBN,elasticsearch,ClusterServiceIT.java
2630,on failure,IN NN,elasticsearch,ClusterServiceIT.java
2631,execute,VB,elasticsearch,ClusterServiceIT.java
2632,cluster state processed,NN NN VBN,elasticsearch,ClusterServiceIT.java
2633,on failure,IN NN,elasticsearch,ClusterServiceIT.java
2634,execute,VB,elasticsearch,ClusterServiceIT.java
2635,cluster state processed,NN NN VBN,elasticsearch,ClusterServiceIT.java
2636,on failure,IN NN,elasticsearch,ClusterServiceIT.java
2637,execute,VB,elasticsearch,ClusterServiceIT.java
2638,cluster state processed,NN NN VBN,elasticsearch,ClusterServiceIT.java
2639,on failure,IN NN,elasticsearch,ClusterServiceIT.java
2640,execute,VB,elasticsearch,ClusterServiceIT.java
2641,on failure,IN NN,elasticsearch,ClusterServiceIT.java
2642,release,VB,elasticsearch,ClusterServiceIT.java
2643,execute,VB,elasticsearch,ClusterServiceIT.java
2644,on failure,IN NN,elasticsearch,ClusterServiceIT.java
2645,name,NN,elasticsearch,ClusterServiceIT.java
2646,description,NN,elasticsearch,ClusterServiceIT.java
2647,node services,NN NNS,elasticsearch,ClusterServiceIT.java
2648,on master,IN NN,elasticsearch,ClusterServiceIT.java
2649,off master,IN NN,elasticsearch,ClusterServiceIT.java
2650,master,NN,elasticsearch,ClusterServiceIT.java
2651,do start,VB VB,elasticsearch,ClusterServiceIT.java
2652,do stop,VB VB,elasticsearch,ClusterServiceIT.java
2653,do close,VB VB,elasticsearch,ClusterServiceIT.java
2654,executor name,NN NN,elasticsearch,ClusterServiceIT.java
2655,clean path,JJ NN,elasticsearch,BlobPath.java
2656,iterator,NN,elasticsearch,BlobPath.java
2657,to array,TO NN,elasticsearch,BlobPath.java
2658,add,VB,elasticsearch,BlobPath.java
2659,build as string,VB IN NN,elasticsearch,BlobPath.java
2660,to string,TO NN,elasticsearch,BlobPath.java
2661,to x content,TO NN NN,elasticsearch,MultiPointBuilder.java
2662,build,VB,elasticsearch,MultiPointBuilder.java
2663,type,NN,elasticsearch,MultiPointBuilder.java
2664,hash code,NN NN,elasticsearch,MultiPointBuilder.java
2665,equals,VBZ,elasticsearch,MultiPointBuilder.java
2666,write to,VB TO,elasticsearch,MultiPointBuilder.java
2667,read from,VB IN,elasticsearch,MultiPointBuilder.java
2668,write to,VB TO,elasticsearch,UnassignedInfo.java
2669,read from,VB IN,elasticsearch,UnassignedInfo.java
2670,get reason,VB NN,elasticsearch,UnassignedInfo.java
2671,get unassigned time in millis,VB JJ NN IN NNS,elasticsearch,UnassignedInfo.java
2672,get unassigned time in nanos,VB JJ NN IN NNS,elasticsearch,UnassignedInfo.java
2673,get message,VB NN,elasticsearch,UnassignedInfo.java
2674,get failure,VB NN,elasticsearch,UnassignedInfo.java
2675,get details,VB NNS,elasticsearch,UnassignedInfo.java
2676,get allocation delay timeout setting nanos,VB NN NN IN NN NNS,elasticsearch,UnassignedInfo.java
2677,get last computed left delay nanos,VB JJ JJ JJ NN NNS,elasticsearch,UnassignedInfo.java
2678,update delay,VB NN,elasticsearch,UnassignedInfo.java
2679,get number of delayed unassigned,VB NN IN JJ JJ,elasticsearch,UnassignedInfo.java
2680,find smallest delayed allocation setting nanos,VB JJS JJ NN NN NNS,elasticsearch,UnassignedInfo.java
2681,find next delayed allocation in,VB JJ JJ NN IN,elasticsearch,UnassignedInfo.java
2682,short summary,JJ NN,elasticsearch,UnassignedInfo.java
2683,to string,TO NN,elasticsearch,UnassignedInfo.java
2684,to x content,TO NN NN,elasticsearch,UnassignedInfo.java
2685,equals,VBZ,elasticsearch,UnassignedInfo.java
2686,hash code,NN NN,elasticsearch,UnassignedInfo.java
2687,inner execute,JJ NN,elasticsearch,PhraseSuggester.java
2688,build result entry,VB NN NN,elasticsearch,PhraseSuggester.java
2689,script service,NN NN,elasticsearch,PhraseSuggester.java
2690,get context parser,VB NN NN,elasticsearch,PhraseSuggester.java
2691,name,NN,elasticsearch,TokenizerFactory.java
2692,create,VB,elasticsearch,TokenizerFactory.java
2693,test that validation without specifying search request fails,VB DT NN IN VBG NN NN NNS,elasticsearch,PutWarmerRequestTests.java
2694,register repository,VB NN,elasticsearch,RepositoriesService.java
2695,new response,JJ NN,elasticsearch,RepositoriesService.java
2696,execute,VB,elasticsearch,RepositoriesService.java
2697,on failure,IN NN,elasticsearch,RepositoriesService.java
2698,must ack,MD VB,elasticsearch,RepositoriesService.java
2699,unregister repository,VB NN,elasticsearch,RepositoriesService.java
2700,new response,JJ NN,elasticsearch,RepositoriesService.java
2701,execute,VB,elasticsearch,RepositoriesService.java
2702,must ack,MD VB,elasticsearch,RepositoriesService.java
2703,verify repository,VB NN,elasticsearch,RepositoriesService.java
2704,on response,IN NN,elasticsearch,RepositoriesService.java
2705,on failure,IN NN,elasticsearch,RepositoriesService.java
2706,cluster changed,NN VBN,elasticsearch,RepositoriesService.java
2707,repository,NN,elasticsearch,RepositoriesService.java
2708,index shard repository,NN NN NN,elasticsearch,RepositoriesService.java
2709,register repository,NN NN,elasticsearch,RepositoriesService.java
2710,close repository,VB NN,elasticsearch,RepositoriesService.java
2711,create repository holder,VB NN NN,elasticsearch,RepositoriesService.java
2712,ensure repository not in use,VB NN RB IN NN,elasticsearch,RepositoriesService.java
2713,on response,IN NN,elasticsearch,RepositoriesService.java
2714,on response,IN NN,elasticsearch,RepositoriesService.java
2715,on failure,IN NN,elasticsearch,RepositoriesService.java
2716,on failure,IN NN,elasticsearch,RepositoriesService.java
2717,settings,NNS,elasticsearch,RepositoriesService.java
2718,failures,NNS,elasticsearch,RepositoriesService.java
2719,nodes,NNS,elasticsearch,RepositoriesService.java
2720,failed,JJ,elasticsearch,RepositoriesService.java
2721,failure description,NN NN,elasticsearch,RepositoriesService.java
2722,test parse id alone,VB VB NN RB,elasticsearch,MappingMetaDataParserTests.java
2723,test fail if id is no value,VB NN IN NN VBZ DT NN,elasticsearch,MappingMetaDataParserTests.java
2724,test parse routing alone,VB VB NN RB,elasticsearch,MappingMetaDataParserTests.java
2725,test parse timestamp alone,VB VB NN RB,elasticsearch,MappingMetaDataParserTests.java
2726,test parse timestamp equals,VB VB NN VBZ,elasticsearch,MappingMetaDataParserTests.java
2727,test parse id and routing and timestamp,VB VB NN CC NN CC NN,elasticsearch,MappingMetaDataParserTests.java
2728,test parse id and routing and timestamp with path,VB VB NN CC NN CC NN IN NN,elasticsearch,MappingMetaDataParserTests.java
2729,test parse id with path,VB VB NN IN NN,elasticsearch,MappingMetaDataParserTests.java
2730,test parse routing with path,VB VB NN IN NN,elasticsearch,MappingMetaDataParserTests.java
2731,test parse timestamp with path,VB VB NN IN NN,elasticsearch,MappingMetaDataParserTests.java
2732,test parse id and routing and timestamp within same path,VB VB NN CC NN CC NN IN JJ NN,elasticsearch,MappingMetaDataParserTests.java
2733,test parse id and routing and timestamp within same path and more levels,VB VB NN CC NN CC NN IN JJ NN CC JJR NNS,elasticsearch,MappingMetaDataParserTests.java
2734,test parse id and routing and timestamp with same repeated object,VB VB NN CC NN CC NN IN JJ JJ NN,elasticsearch,MappingMetaDataParserTests.java
2735,test parse id routing timestamp with repeated field,VB VB NN VBG NN IN JJ NN,elasticsearch,MappingMetaDataParserTests.java
2736,test parse no id routing with repeated field and object,VB VB DT NN NN IN JJ NN CC NN,elasticsearch,MappingMetaDataParserTests.java
2737,test parse routing with repeated field and valid routing,VB VB NN IN JJ NN CC JJ NN,elasticsearch,MappingMetaDataParserTests.java
2738,get ordinals values,VB NNS NNS,elasticsearch,SortedSetDVBytesAtomicFieldData.java
2739,close,VB,elasticsearch,SortedSetDVBytesAtomicFieldData.java
2740,ram bytes used,NNP NNS VBN,elasticsearch,SortedSetDVBytesAtomicFieldData.java
2741,get child resources,VB NN NNS,elasticsearch,SortedSetDVBytesAtomicFieldData.java
2742,new request builder,JJ NN NN,elasticsearch,GetFieldMappingsAction.java
2743,new response,JJ NN,elasticsearch,GetFieldMappingsAction.java
2744,compare,VB,elasticsearch,Suggest.java
2745,iterator,NN,elasticsearch,Suggest.java
2746,size,NN,elasticsearch,Suggest.java
2747,get suggestion,VB NN,elasticsearch,Suggest.java
2748,read from,VB IN,elasticsearch,Suggest.java
2749,write to,VB TO,elasticsearch,Suggest.java
2750,to x content,TO NN NN,elasticsearch,Suggest.java
2751,read suggest,VB NN,elasticsearch,Suggest.java
2752,group,NN,elasticsearch,Suggest.java
2753,reduce,VB,elasticsearch,Suggest.java
2754,add term,VB NN,elasticsearch,Suggest.java
2755,get type,VB NN,elasticsearch,Suggest.java
2756,iterator,NN,elasticsearch,Suggest.java
2757,get entries,VB NNS,elasticsearch,Suggest.java
2758,get name,VB NN,elasticsearch,Suggest.java
2759,reduce,VB,elasticsearch,Suggest.java
2760,sort comparator,VB NN,elasticsearch,Suggest.java
2761,trim,VB,elasticsearch,Suggest.java
2762,read from,VB IN,elasticsearch,Suggest.java
2763,new entry,JJ NN,elasticsearch,Suggest.java
2764,inner read from,JJ VB IN,elasticsearch,Suggest.java
2765,write to,VB TO,elasticsearch,Suggest.java
2766,inner write to,JJ VB TO,elasticsearch,Suggest.java
2767,to x content,TO NN NN,elasticsearch,Suggest.java
2768,add option,VB NN,elasticsearch,Suggest.java
2769,sort,VB,elasticsearch,Suggest.java
2770,reduce,VB,elasticsearch,Suggest.java
2771,merge,VB,elasticsearch,Suggest.java
2772,get text,VB NN,elasticsearch,Suggest.java
2773,get offset,VB NN,elasticsearch,Suggest.java
2774,get length,VB NN,elasticsearch,Suggest.java
2775,iterator,NN,elasticsearch,Suggest.java
2776,get options,VB NNS,elasticsearch,Suggest.java
2777,trim,VB,elasticsearch,Suggest.java
2778,equals,VBZ,elasticsearch,Suggest.java
2779,hash code,NN NN,elasticsearch,Suggest.java
2780,read from,VB IN,elasticsearch,Suggest.java
2781,new option,JJ NN,elasticsearch,Suggest.java
2782,write to,NN TO,elasticsearch,Suggest.java
2783,to x content,TO NN NN,elasticsearch,Suggest.java
2784,get text,VB NN,elasticsearch,Suggest.java
2785,get highlighted,VB VBN,elasticsearch,Suggest.java
2786,get score,VB NN,elasticsearch,Suggest.java
2787,collate match,VB NN,elasticsearch,Suggest.java
2788,set score,VB NN,elasticsearch,Suggest.java
2789,read from,VB IN,elasticsearch,Suggest.java
2790,write to,VB TO,elasticsearch,Suggest.java
2791,to x content,TO NN NN,elasticsearch,Suggest.java
2792,inner to x content,NN TO NN NN,elasticsearch,Suggest.java
2793,merge into,VB IN,elasticsearch,Suggest.java
2794,equals,VBZ,elasticsearch,Suggest.java
2795,hash code,NN NN,elasticsearch,Suggest.java
2796,id,NN,elasticsearch,Suggest.java
2797,from id,IN NN,elasticsearch,Suggest.java
2798,to string,TO NN,elasticsearch,Suggest.java
2799,close,VB,elasticsearch,EngineSearcher.java
2800,create query builder,VB NN NN,elasticsearch,SpanTermQueryBuilderTests.java
2801,do assert lucene query,VB VB NN NN,elasticsearch,SpanTermQueryBuilderTests.java
2802,create span term query builders,VB NN NN NN NNS,elasticsearch,SpanTermQueryBuilderTests.java
2803,test from json,VB IN NNP,elasticsearch,SpanTermQueryBuilderTests.java
2804,comparator source,NN NN,elasticsearch,BytesBinaryDVIndexFieldData.java
2805,load,VB,elasticsearch,BytesBinaryDVIndexFieldData.java
2806,load direct,VB NN,elasticsearch,BytesBinaryDVIndexFieldData.java
2807,build,VB,elasticsearch,BytesBinaryDVIndexFieldData.java
2808,parse elements,VB NNS,elasticsearch,FetchSourceSubPhase.java
2809,hits execution needed,VBZ NN VBN,elasticsearch,FetchSourceSubPhase.java
2810,hits execute,VBZ VB,elasticsearch,FetchSourceSubPhase.java
2811,hit execution needed,VB NN VBN,elasticsearch,FetchSourceSubPhase.java
2812,hit execute,VB NN,elasticsearch,FetchSourceSubPhase.java
2813,get,VB,elasticsearch,BulgarianAnalyzerProvider.java
2814,name,NN,elasticsearch,AzureComputeServiceSimpleMock.java
2815,description,NN,elasticsearch,AzureComputeServiceSimpleMock.java
2816,on module,IN NN,elasticsearch,AzureComputeServiceSimpleMock.java
2817,get service details,VB NN NNS,elasticsearch,AzureComputeServiceSimpleMock.java
2818,lookup,NN,elasticsearch,PerThreadIDAndVersionLookup.java
2819,flush or close,VB CC VB,elasticsearch,MockEngineSupport.java
2820,new searcher,JJ NN,elasticsearch,MockEngineSupport.java
2821,wrap reader,VB NN,elasticsearch,MockEngineSupport.java
2822,get core cache key,VB JJ NN NN,elasticsearch,MockEngineSupport.java
2823,wrap searcher,VB NN,elasticsearch,MockEngineSupport.java
2824,close,VB,elasticsearch,MockEngineSupport.java
2825,close,VB,elasticsearch,MockEngineSupport.java
2826,add,VB,elasticsearch,MockEngineSupport.java
2827,remove,VB,elasticsearch,MockEngineSupport.java
2828,max errors,JJ NNS,elasticsearch,PhraseSuggestionContext.java
2829,set max errors,VB JJ NNS,elasticsearch,PhraseSuggestionContext.java
2830,separator,NN,elasticsearch,PhraseSuggestionContext.java
2831,set separator,VB NN,elasticsearch,PhraseSuggestionContext.java
2832,realworld error likelyhood,JJ NN NN,elasticsearch,PhraseSuggestionContext.java
2833,set real word error likelihood,VB JJ NN NN NN,elasticsearch,PhraseSuggestionContext.java
2834,add generator,VB NN,elasticsearch,PhraseSuggestionContext.java
2835,generators,NNS,elasticsearch,PhraseSuggestionContext.java
2836,set gram size,VB NN NN,elasticsearch,PhraseSuggestionContext.java
2837,gram size,NN NN,elasticsearch,PhraseSuggestionContext.java
2838,confidence,NN,elasticsearch,PhraseSuggestionContext.java
2839,set confidence,VB NN,elasticsearch,PhraseSuggestionContext.java
2840,set model,VB NN,elasticsearch,PhraseSuggestionContext.java
2841,model,NN,elasticsearch,PhraseSuggestionContext.java
2842,field,NN,elasticsearch,PhraseSuggestionContext.java
2843,set field,VB NN,elasticsearch,PhraseSuggestionContext.java
2844,size,NN,elasticsearch,PhraseSuggestionContext.java
2845,size,NN,elasticsearch,PhraseSuggestionContext.java
2846,pre filter,IN NN,elasticsearch,PhraseSuggestionContext.java
2847,pre filter,IN NN,elasticsearch,PhraseSuggestionContext.java
2848,post filter,IN NN,elasticsearch,PhraseSuggestionContext.java
2849,post filter,IN NN,elasticsearch,PhraseSuggestionContext.java
2850,set require unigram,VB VB NN,elasticsearch,PhraseSuggestionContext.java
2851,get require unigram,VB VB NN,elasticsearch,PhraseSuggestionContext.java
2852,set token limit,VB NN NN,elasticsearch,PhraseSuggestionContext.java
2853,get token limit,VB NN NN,elasticsearch,PhraseSuggestionContext.java
2854,set pre tag,VB IN NN,elasticsearch,PhraseSuggestionContext.java
2855,get pre tag,VB IN NN,elasticsearch,PhraseSuggestionContext.java
2856,set post tag,VB IN NN,elasticsearch,PhraseSuggestionContext.java
2857,get post tag,VB IN NN,elasticsearch,PhraseSuggestionContext.java
2858,get collate query script,VB VB NN NN,elasticsearch,PhraseSuggestionContext.java
2859,set collate query script,VB VB NN NN,elasticsearch,PhraseSuggestionContext.java
2860,get collate script params,VB VB NN NNS,elasticsearch,PhraseSuggestionContext.java
2861,set collate script params,VB VB NN NNS,elasticsearch,PhraseSuggestionContext.java
2862,set collate prune,VB VB NN,elasticsearch,PhraseSuggestionContext.java
2863,collate prune,VB NN,elasticsearch,PhraseSuggestionContext.java
2864,current state,JJ NN,elasticsearch,IllegalIndexShardStateException.java
2865,write to,VB TO,elasticsearch,IllegalIndexShardStateException.java
2866,status,NN,elasticsearch,IllegalIndexShardStateException.java
2867,node settings,NN NNS,elasticsearch,IndexedExpressionTests.java
2868,node plugins,NN NNS,elasticsearch,IndexedExpressionTests.java
2869,test all ops disabled indexed scripts,VB DT NNS JJ JJ NNS,elasticsearch,IndexedExpressionTests.java
2870,build,VB,elasticsearch,CustomAnalyzerProvider.java
2871,get,VB,elasticsearch,CustomAnalyzerProvider.java
2872,parse basic model,VB JJ NN,elasticsearch,DFRSimilarityProvider.java
2873,parse after effect,VB IN NN,elasticsearch,DFRSimilarityProvider.java
2874,get,VB,elasticsearch,DFRSimilarityProvider.java
2875,test keep types,VB VB NNS,elasticsearch,KeepTypesFilterFactoryTests.java
2876,create,VB,elasticsearch,PolishStemTokenFilterFactory.java
2877,register prototype,VB NN,elasticsearch,NamedWriteableRegistry.java
2878,get prototype,VB NN,elasticsearch,NamedWriteableRegistry.java
2879,register prototype,VB NN,elasticsearch,NamedWriteableRegistry.java
2880,get prototype,VB NN,elasticsearch,NamedWriteableRegistry.java
2881,indices,NNS,elasticsearch,IndicesExistsRequest.java
2882,indices,NNS,elasticsearch,IndicesExistsRequest.java
2883,indices options,NNS NNS,elasticsearch,IndicesExistsRequest.java
2884,indices options,NNS NNS,elasticsearch,IndicesExistsRequest.java
2885,validate,VB,elasticsearch,IndicesExistsRequest.java
2886,read from,VB IN,elasticsearch,IndicesExistsRequest.java
2887,write to,VB TO,elasticsearch,IndicesExistsRequest.java
2888,get index,VB NN,elasticsearch,PutIndexedScriptResponse.java
2889,get script lang,VB NN NN,elasticsearch,PutIndexedScriptResponse.java
2890,get id,VB NN,elasticsearch,PutIndexedScriptResponse.java
2891,get version,VB NN,elasticsearch,PutIndexedScriptResponse.java
2892,is created,VBZ VBN,elasticsearch,PutIndexedScriptResponse.java
2893,read from,VB IN,elasticsearch,PutIndexedScriptResponse.java
2894,write to,VB TO,elasticsearch,PutIndexedScriptResponse.java
2895,get field data type,VB NN NNS NN,elasticsearch,DuelFieldDataTests.java
2896,test duel all types single value,VB NN DT NNS JJ NN,elasticsearch,DuelFieldDataTests.java
2897,test duel integers,VB NN NNS,elasticsearch,DuelFieldDataTests.java
2898,test duel doubles,VB NN NNS,elasticsearch,DuelFieldDataTests.java
2899,test duel strings,VB NN NNS,elasticsearch,DuelFieldDataTests.java
2900,test duel global ordinals,VB NN JJ NNS,elasticsearch,DuelFieldDataTests.java
2901,test duel geo points,VB NN NN NNS,elasticsearch,DuelFieldDataTests.java
2902,test empty,VB NN,elasticsearch,DuelFieldDataTests.java
2903,get numbers,VB NNS,elasticsearch,DuelFieldDataTests.java
2904,duel field data bytes,NN NN NNS NNS,elasticsearch,DuelFieldDataTests.java
